City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Geraldton,AU,-28.7667,114.6,287.38,82,58,2.57,broken clouds
1,Puerto Ayora,EC,-0.7393,-90.3518,297.13,92,99,3.46,overcast clouds
2,Lavrentiya,RU,65.5833,-171.0,247.3,87,13,1.34,few clouds
3,Airai,TL,-8.9266,125.4092,292.53,78,100,0.47,overcast clouds
4,Xichang,CN,27.8964,102.2634,278.85,89,63,0.35,broken clouds
5,Mataura,NZ,-46.1927,168.8643,290.08,42,59,1.46,broken clouds
6,Rikitea,PF,-23.1203,-134.9692,298.51,76,87,3.86,light rain
7,Busselton,AU,-33.65,115.3333,282.62,60,100,3.94,overcast clouds
8,Sawtell,AU,-30.3833,153.1,295.33,74,40,5.66,scattered clouds
9,Patnanungan,PH,14.7833,122.1833,299.08,83,100,10.79,overcast clouds
10,Abu Kamal,SY,34.4506,40.9171,286.23,47,100,0.84,overcast clouds
11,New Norfolk,AU,-42.7826,147.0587,290.33,53,11,1.34,few clouds
12,Kortkeros,RU,61.8106,51.5806,255.47,96,89,2.16,overcast clouds
13,Sitka,US,57.0531,-135.33,274.09,75,90,2.57,light snow
14,Foca,TR,38.6703,26.7566,287.06,83,100,7.52,overcast clouds
15,Georgetown,MY,5.4112,100.3354,299.76,81,20,0.45,few clouds
16,Hilo,US,19.7297,-155.09,299.0,55,75,2.57,broken clouds
17,Carnarvon,AU,-24.8667,113.6333,293.19,73,3,6.69,clear sky
18,Vidim,RU,56.4088,103.1106,258.17,97,100,1.72,overcast clouds
19,Arraial Do Cabo,BR,-22.9661,-42.0278,297.98,89,86,10.01,light rain
20,Inta,RU,66.0317,60.1659,261.25,94,100,5.29,overcast clouds
21,Ushuaia,AR,-54.8,-68.3,280.96,49,75,11.83,broken clouds
22,Pangody,RU,65.85,74.4859,240.13,99,19,2.34,few clouds
23,Provideniya,RU,64.3833,-173.3,251.21,64,0,2.0,clear sky
24,Nexo,DK,55.0607,15.1306,277.2,91,100,4.59,overcast clouds
25,Cherskiy,RU,68.75,161.3,231.66,100,49,0.64,scattered clouds
26,Komsomolskiy,UZ,40.4272,71.7189,274.83,55,43,3.09,haze
27,Albany,US,42.6001,-73.9662,277.89,43,0,4.06,clear sky
28,Grindavik,IS,63.8424,-22.4338,278.41,87,75,8.75,light rain
29,Jamestown,US,42.097,-79.2353,278.92,50,1,2.68,clear sky
30,Mahebourg,MU,-20.4081,57.7,297.31,88,75,7.72,light intensity shower rain
31,Ulladulla,AU,-35.35,150.4667,292.52,66,1,2.14,clear sky
32,Vaini,TO,-21.2,-175.2,301.24,83,40,6.17,light rain
33,Vizianagaram,IN,18.1167,83.4167,293.38,85,33,2.07,scattered clouds
34,Adiake,CI,5.2863,-3.304,301.92,85,29,2.78,scattered clouds
35,Saskylakh,RU,71.9167,114.0833,230.43,100,70,1.49,broken clouds
36,Riyadh,SA,24.6877,46.7219,284.23,29,33,2.78,scattered clouds
37,Otane,NZ,-39.8833,176.6333,294.48,88,100,3.35,overcast clouds
38,Ribeira Grande,PT,38.5167,-28.7,287.98,53,100,8.39,overcast clouds
39,Bethel,US,41.3712,-73.414,279.58,45,1,1.54,clear sky
40,Gonaives,HT,19.45,-72.6833,301.14,74,7,3.35,clear sky
41,Oranjemund,NA,-28.55,16.4333,289.72,92,56,1.24,broken clouds
42,Samarai,PG,-10.6167,150.6667,301.81,75,100,4.96,overcast clouds
43,East London,ZA,-33.0153,27.9116,295.29,95,100,3.52,light rain
44,Punta Arenas,CL,-53.15,-70.9167,283.21,34,0,10.29,clear sky
45,La Plata,AR,-34.9215,-57.9545,299.25,78,70,3.94,broken clouds
46,Castro,BR,-24.7911,-50.0119,295.29,49,92,1.96,overcast clouds
47,Port Elizabeth,ZA,-33.918,25.5701,294.87,88,90,2.06,overcast clouds
48,Hithadhoo,MV,-0.6,73.0833,300.28,79,100,4.96,overcast clouds
49,Almaznyy,RU,48.0448,40.045,270.23,58,100,7.73,overcast clouds
50,Avarua,CK,-21.2078,-159.775,296.18,94,75,2.57,heavy intensity rain
51,Quelimane,MZ,-17.8786,36.8883,301.12,69,0,6.17,clear sky
52,Pimentel,PE,-6.8367,-79.9342,296.31,64,0,7.72,clear sky
53,Sayat,TM,38.7839,63.8803,276.08,84,99,3.42,overcast clouds
54,Barrow,US,71.2906,-156.7887,248.16,77,1,6.17,clear sky
55,Sao Joao Da Barra,BR,-21.6403,-41.0511,297.76,89,88,10.0,heavy intensity rain
56,Tessalit,ML,20.1986,1.0114,294.13,9,14,3.99,few clouds
57,Catuday,PH,16.2923,119.8062,298.18,74,80,4.48,broken clouds
58,Suntar,RU,62.1444,117.6319,246.59,95,100,2.93,overcast clouds
59,Katsuura,JP,35.1333,140.3,284.21,62,80,6.69,broken clouds
60,Aosta,IT,45.7667,7.4167,271.43,72,5,0.89,clear sky
61,Tilichiki,RU,60.4667,166.1,251.0,81,100,7.9,overcast clouds
62,Uxbridge,US,42.0773,-71.6295,278.9,56,3,0.89,clear sky
63,Tuktoyaktuk,CA,69.4541,-133.0374,252.15,77,90,8.23,light snow
64,Mar Del Plata,AR,-38.0023,-57.5575,296.16,86,75,1.34,broken clouds
65,Gizo,SB,-8.103,156.8419,302.29,74,67,2.85,broken clouds
66,Dingle,PH,10.9995,122.6711,297.23,92,92,3.57,overcast clouds
67,Isangel,VU,-19.55,169.2667,301.91,76,100,4.07,overcast clouds
68,Alice Springs,AU,-23.7,133.8833,299.9,28,26,4.63,scattered clouds
69,Bluff,NZ,-46.6,168.3333,290.26,71,26,2.13,scattered clouds
70,Husavik,IS,66.0449,-17.3389,278.1,79,95,6.12,overcast clouds
71,The Hammocks,US,25.6715,-80.4445,300.16,77,1,5.14,clear sky
72,Sibolga,ID,1.7427,98.7792,297.27,91,100,0.53,overcast clouds
73,Rusape,ZW,-18.5278,32.1284,290.98,73,42,2.1,scattered clouds
74,Hanover,DE,52.3705,9.7332,281.95,95,90,4.12,light intensity drizzle
75,Xining,CN,36.6167,101.7667,267.4,29,0,0.87,clear sky
76,Hermanus,ZA,-34.4187,19.2345,291.43,88,62,3.4,broken clouds
77,Agirish,RU,61.9247,63.0231,261.16,90,98,2.17,overcast clouds
78,Bredy,RU,52.4153,60.3411,259.09,86,7,2.28,clear sky
79,Male,MV,4.1748,73.5089,300.12,89,75,3.6,broken clouds
80,Rovaniemi,FI,66.5,25.7167,269.82,100,90,3.09,fog
81,Bambous Virieux,MU,-20.3428,57.7575,297.29,88,75,7.72,light intensity shower rain
82,Lompoc,US,34.6391,-120.4579,291.55,57,1,6.69,clear sky
83,Cape Town,ZA,-33.9258,18.4232,292.38,79,20,0.89,few clouds
84,Byron Bay,AU,-28.65,153.6167,297.14,83,97,3.88,overcast clouds
85,Victoria,HK,22.2855,114.1577,291.66,71,53,0.89,broken clouds
86,Fuling,CN,29.7022,107.3919,283.03,90,98,0.95,overcast clouds
87,Gat,IL,31.61,34.7642,295.04,33,100,0.78,overcast clouds
88,Esperance,AU,-33.8667,121.9,286.06,53,68,1.96,broken clouds
89,Bara,NG,10.3744,10.7288,296.03,26,86,3.59,overcast clouds
90,Bubaque,GW,11.2833,-15.8333,300.49,73,21,5.93,few clouds
91,Chateauroux,FR,46.8167,1.7,282.15,93,90,1.54,overcast clouds
92,Constitucion,CL,-35.3333,-72.4167,287.57,62,1,8.36,clear sky
93,Mchinji,MW,-13.7984,32.8802,293.26,56,0,2.05,clear sky
94,Hamada,JP,34.8833,132.0833,281.16,70,85,4.04,light rain
95,Luchenza,MW,-16.0069,35.3095,298.36,47,88,1.31,overcast clouds
96,Pevek,RU,69.7008,170.3133,237.08,96,13,0.69,few clouds
97,Cabo San Lucas,MX,22.8909,-109.9124,299.55,66,20,2.06,few clouds
98,Yelizovo,RU,53.1873,158.3805,271.23,74,75,1.79,broken clouds
99,Nishihara,JP,26.1842,127.7558,292.75,78,75,4.12,mist
100,Ponta Do Sol,PT,32.6667,-17.1,291.49,76,46,0.76,scattered clouds
101,Kodiak,US,57.79,-152.4072,264.42,57,1,15.43,clear sky
102,Tiksi,RU,71.6872,128.8694,244.85,100,100,1.29,overcast clouds
103,Pisco,PE,-13.7,-76.2167,294.18,83,20,8.23,few clouds
104,Mikhaylovka,RU,50.06,43.2379,267.47,61,89,5.28,overcast clouds
105,Betare Oya,CM,5.6,14.0833,295.85,32,79,2.25,broken clouds
106,Rosetta,EG,31.4044,30.4164,289.05,64,100,3.02,overcast clouds
107,Laguna,US,38.421,-121.4238,285.88,85,90,1.34,light rain
108,Atuona,PF,-9.8,-139.0333,299.32,78,15,8.48,few clouds
109,Ingham,US,42.6,-84.3833,280.12,55,1,3.6,clear sky
