City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
686,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
691,Rikitea,PF,77.65,light rain,-23.1203,-134.9692,People ThankYou
694,Patnanungan,PH,78.67,overcast clouds,14.7833,122.1833,Villa Caesar
700,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
701,Hilo,US,79.11,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
704,Arraial Do Cabo,BR,76.69,light rain,-22.9661,-42.0278,Pousada Porto Praia
715,Mahebourg,MU,75.49,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
717,Vaini,TO,82.56,light rain,-21.2,-175.2,Keleti Beach Resort
719,Adiake,CI,83.79,scattered clouds,5.2863,-3.304,Monhotel résidence Inn Adiake
725,Gonaives,HT,82.38,clear sky,19.45,-72.6833,Vertières Doux Séjour
727,Samarai,PG,83.59,overcast clouds,-10.6167,150.6667,Nuli Sapi
730,La Plata,AR,78.71,broken clouds,-34.9215,-57.9545,Hotel Corregidor
733,Hithadhoo,MV,80.83,overcast clouds,-0.6,73.0833,Scoop Guest House
736,Quelimane,MZ,82.35,clear sky,-17.8786,36.8883,Hotel Flamingo
740,Sao Joao Da Barra,BR,76.21,heavy intensity rain,-21.6403,-41.0511,Pousada Porto De Canoas
742,Catuday,PH,77.05,broken clouds,16.2923,119.8062,Benjie's Kubo & Cottages
750,Gizo,SB,84.45,broken clouds,-8.103,156.8419,Imagination Island
751,Dingle,PH,76.8,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
752,Isangel,VU,83.21,overcast clouds,-19.55,169.2667,Tanna Lodge
753,Alice Springs,AU,80.15,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
756,The Hammocks,US,80.62,clear sky,25.6715,-80.4445,Casa tío Hernan
757,Sibolga,ID,75.42,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
764,Male,MV,80.55,broken clouds,4.1748,73.5089,Hotel Octave Maldives
766,Bambous Virieux,MU,75.45,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
769,Byron Bay,AU,75.18,overcast clouds,-28.65,153.6167,Backpackers Inn
775,Bubaque,GW,81.21,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
780,Luchenza,MW,77.38,overcast clouds,-16.0069,35.3095,Mbumba Lodge
782,Cabo San Lucas,MX,79.52,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
793,Atuona,PF,79.11,few clouds,-9.8,-139.0333,Villa Enata
805,Lodwar,KE,82.76,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
806,Lorengau,PG,82.96,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
807,Port Moresby,PG,78.22,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
810,Quatre Cocos,MU,75.31,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
814,Padang,ID,77.05,light rain,-0.9492,100.3543,Mercure Padang
817,Maragogi,BR,79.03,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
823,Sao Jose Da Coroa Grande,BR,79.14,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
826,Inhambane,MZ,78.31,clear sky,-23.865,35.3833,Oceano
829,Saint-Philippe,RE,76.59,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
830,Butaritari,KI,82.62,broken clouds,3.0707,172.7902,Isles Sunset Lodge
834,Sainte-Suzanne,RE,77.22,overcast clouds,-20.9061,55.6089,Gites Ango
835,Benguela,AO,77.4,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
841,Vao,NC,75.67,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
842,Puerto Cabezas,NI,82.36,broken clouds,14.0351,-83.3888,Cabaña Caribe
844,San Juan,AR,77.14,clear sky,-31.5375,-68.5364,Hotel Provincial
846,Kuching,MY,75.42,moderate rain,1.55,110.3333,The Ranee Boutique Suites
851,Alofi,NU,82.29,clear sky,-19.0595,-169.9187,Taloa Heights
855,Cayenne,GF,77.04,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
859,Mana,GF,76.59,light rain,5.6592,-53.7767,LE SAMANA
861,Bodden Town,KY,84.2,few clouds,19.2833,-81.25,Will T Place
865,Rosario,AR,75.81,light rain,-32.9468,-60.6393,"Holiday Inn Rosario, an IHG Hotel"
866,Kapaa,US,80.92,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
870,Kupang,ID,77.58,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
876,Coruripe,BR,79.21,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
878,Touros,BR,83.3,clear sky,-5.1989,-35.4608,INN NEW HORIZON
880,Juxtlahuaca,MX,80.11,scattered clouds,17.4294,-99.1467,"Casa de Huespedes ""El centro"""
881,Namatanai,PG,84.76,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
882,Inhuma,BR,83.55,overcast clouds,-6.6683,-41.7078,Edifício Bezerra
900,Finschhafen,PG,83.75,moderate rain,-6.6024,147.8681,Cossam Guest House
903,Pirapemas,BR,80.6,overcast clouds,-3.7267,-44.2233,HOTEL DA LOURA
909,Porto Novo,BJ,84.02,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
913,Boyolangu,ID,77.47,broken clouds,-8.1181,111.8935,Yos ega cv
914,Acapulco,MX,85.82,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
915,Maceio,BR,80.04,few clouds,-9.6658,-35.7353,Poutur Pousada
923,Resistencia,AR,86.05,clear sky,-27.4606,-58.9839,Niyat Urban Hotel
929,Manggar,ID,78.13,overcast clouds,-2.8833,108.2667,Guest Hotel
932,Tual,ID,84.0,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
937,Fare,PF,80.85,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
941,Aswan,EG,78.1,clear sky,24.0934,32.907,Nuba Nile
948,Warrnambool,AU,79.57,broken clouds,-38.3833,142.4833,Lady Bay Resort
949,Kavaratti,IN,81.09,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
951,Vila Velha,BR,80.55,light rain,-20.3297,-40.2925,Quality Suites Vila Velha
954,Port Blair,IN,79.11,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
